Date,Opponent,Team,Score
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Sporting Columbus Sporting Columbus Boys 2018 I,202510-10
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,20252-15
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,20251-00
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,20252-30
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,20251-00
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,LFC United LFC United 2018 B Elite,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Club Ohio Club Ohio West 18B Academy II,Unknown
Unknown,2 - 2,Club Ohio Club Ohio West 18B Academy II,20256-00
Unknown,9 - 0,Club Ohio Club Ohio West 18B Academy II,20254-00
Unknown,2 - 3,Club Ohio Club Ohio West 18B Academy II,20256-40
Unknown,LFC United LFC United 2018 B Elite,Club Ohio Club Ohio West 18B Academy II,20256-00
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Club Ohio Club Ohio West 18B Academy II,20252-00
Unknown,4 - 0,Club Ohio Club Ohio West 18B Academy II,20252-00
Unknown,Blast FC Soccer Academy Blast FC 2018B,Club Ohio Club Ohio West 18B Academy II,20256-00
Unknown,5 - 3,Club Ohio Club Ohio West 18B Academy II,20256-00
Unknown,3 - 1,Club Ohio Club Ohio West 18B Academy II,20255-30
Unknown,4 - 1,Club Ohio Club Ohio West 18B Academy II,20255-50
