DSX_Opponent,Opponent_of_Opponent
Upper Arlington United UAU 2018 BU U8 BLACK,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Upper Arlington United UAU 2018 BU U8 BLACK,LFC United LFC United 2018 B Elite 2
Upper Arlington United UAU 2018 BU U8 BLACK,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Upper Arlington United UAU 2018 BU U8 BLACK,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Upper Arlington United UAU 2018 BU U8 BLACK,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Upper Arlington United UAU 2018 BU U8 BLACK,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Barcelona United Barcelona United Elite II 18B
Upper Arlington United UAU 2018 BU U8 BLACK,NASA Xtabi NASA Xtabi 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Dublin United Soccer Club DUSC Nets 2016 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Old Town Soccer Club OTSC 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Granville United FC Granville United FC 2018 Boys
Lancaster Select Soccer Association,Blast FC Soccer Academy Blast FC 2018B
Lancaster Select Soccer Association,Polaris Soccer Club Polaris SC 18B Navy
Lancaster Select Soccer Association,Sporting Columbus Sporting Columbus Boys 2018 II
Lancaster Select Soccer Association,Delaware Knights Delaware Knights 2018 BU08
Lancaster Select Soccer Association,Columbus Force SC CE 2018B Net Ninjas
Lancaster Select Soccer Association,Johnstown FC Johnstown FC 2018 Boys
Lancaster Select Soccer Association,Upper Arlington United UAU 2018 BU U8 BLACK
Lancaster Select Soccer Association,Elite FC Elite FC 2018 Boys Liverpool
Lancaster Select Soccer Association,LFC United LFC United 2018 B Elite
Lancaster Select Soccer Association,Club Ohio Club Ohio West 18B Academy II
Lancaster Select Soccer Association,Northwest FC Northwest FC 2018B Academy Blue
Lancaster Select Soccer Association,Dublin United Soccer Club DUSC Sharks 2018 Boys
Lancaster Select Soccer Association,Grove City Kids Association GCKA 2018B
Lancaster Select Soccer Association,Elite FC Elite FC 2018 Boys Tottenham
Lancaster Select Soccer Association,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Lancaster Select Soccer Association,LFC United LFC United 2018 B Elite 2
Lancaster Select Soccer Association,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Lancaster Select Soccer Association,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Lancaster Select Soccer Association,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Lancaster Select Soccer Association,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Lancaster Select Soccer Association,Barcelona United Barcelona United Elite II 18B
Lancaster Select Soccer Association,NASA Xtabi NASA Xtabi 2018 Boys
Lancaster Select Soccer Association,Dublin United Soccer Club DUSC Nets 2016 Boys
Lancaster Select Soccer Association,Old Town Soccer Club OTSC 2018 Boys
Lancaster Select Soccer Association,Granville United FC Granville United FC 2018 Boys
Pataskala Futbol Club Extreme,Blast FC Soccer Academy Blast FC 2018B
Pataskala Futbol Club Extreme,Polaris Soccer Club Polaris SC 18B Navy
Pataskala Futbol Club Extreme,Sporting Columbus Sporting Columbus Boys 2018 II
Pataskala Futbol Club Extreme,Delaware Knights Delaware Knights 2018 BU08
Pataskala Futbol Club Extreme,Columbus Force SC CE 2018B Net Ninjas
Pataskala Futbol Club Extreme,Johnstown FC Johnstown FC 2018 Boys
Pataskala Futbol Club Extreme,Upper Arlington United UAU 2018 BU U8 BLACK
Pataskala Futbol Club Extreme,Elite FC Elite FC 2018 Boys Liverpool
Pataskala Futbol Club Extreme,LFC United LFC United 2018 B Elite
Pataskala Futbol Club Extreme,Club Ohio Club Ohio West 18B Academy II
Pataskala Futbol Club Extreme,Northwest FC Northwest FC 2018B Academy Blue
Pataskala Futbol Club Extreme,Dublin United Soccer Club DUSC Sharks 2018 Boys
Pataskala Futbol Club Extreme,Grove City Kids Association GCKA 2018B
Pataskala Futbol Club Extreme,Elite FC Elite FC 2018 Boys Tottenham
Pataskala Futbol Club Extreme,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Pataskala Futbol Club Extreme,LFC United LFC United 2018 B Elite 2
Pataskala Futbol Club Extreme,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Pataskala Futbol Club Extreme,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Pataskala Futbol Club Extreme,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Pataskala Futbol Club Extreme,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Pataskala Futbol Club Extreme,Barcelona United Barcelona United Elite II 18B
Pataskala Futbol Club Extreme,NASA Xtabi NASA Xtabi 2018 Boys
