Discovered_Team,Matched_Known_Team,EventID,GroupID,SourceURL,Division,Current_GP,Has_Game_Data
Dublin United Soccer Club DUSC Fearless 2014 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,417567,https://system.gotsport.com/org_event/events/45535/results?group=417567,Schedule,0,False
Johnstown FC Johnstown FC 2014 Girls,Johnstown FC Johnstown FC 2018 Boys,45535,418585,https://system.gotsport.com/org_event/events/45535/results?group=418585,Schedule,0,False
Columbus Force SC CE 2014G Buckeye Blaze,Columbus Force SC CE 2018B Net Ninjas,45535,418585,https://system.gotsport.com/org_event/events/45535/results?group=418585,Schedule,0,False
Dublin United Soccer Club DUSC Lady Irish 2014,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418585,https://system.gotsport.com/org_event/events/45535/results?group=418585,Schedule,0,False
Dublin United Soccer Club DUSC Pink Panthers 2014 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418585,https://system.gotsport.com/org_event/events/45535/results?group=418585,Schedule,0,False
Pride Soccer Club Pride SC 2013G Copa,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418586,https://system.gotsport.com/org_event/events/45535/results?group=418586,Schedule,0,False
Delaware Knights Delaware Knights 2013 GU13,Delaware Knights Delaware Knights 2018 BU08,45535,417568,https://system.gotsport.com/org_event/events/45535/results?group=417568,Schedule,0,False
Polaris Soccer Club Polaris SC 13G Gray,Polaris Soccer Club Polaris SC 18B Navy,45535,417568,https://system.gotsport.com/org_event/events/45535/results?group=417568,Schedule,0,False
Dublin United Soccer Club DUSC Heat 2013 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,417569,https://system.gotsport.com/org_event/events/45535/results?group=417569,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,417569,https://system.gotsport.com/org_event/events/45535/results?group=417569,Schedule,0,False
Pataskala Futbol Club Extreme,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,45535,417569,https://system.gotsport.com/org_event/events/45535/results?group=417569,Schedule,0,False
Columbus Force SC CE 2013G Cheetahs,Columbus Force SC CE 2018B Net Ninjas,45535,418587,https://system.gotsport.com/org_event/events/45535/results?group=418587,Schedule,0,False
Columbus Force SC Columbus Force 13G White,Columbus Force SC CE 2018B Net Ninjas,45535,418587,https://system.gotsport.com/org_event/events/45535/results?group=418587,Schedule,0,False
NASA Xtabi NASA Xtabi 2013 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418587,https://system.gotsport.com/org_event/events/45535/results?group=418587,Schedule,0,False
Pride Soccer Club Pride SC 2013G Samba,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418587,https://system.gotsport.com/org_event/events/45535/results?group=418587,Schedule,0,False
Columbus Force SC CE 2013G Hot Cheetos,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Red Devils,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Sharks,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Express,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Pumas,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Screaming Eagles,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Columbus Force SC CE 2013G Wildcats,Columbus Force SC CE 2018B Net Ninjas,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Dublin United Soccer Club DUSC Tidal Wave 2013 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418588,https://system.gotsport.com/org_event/events/45535/results?group=418588,Schedule,0,False
Ohio Champions League Columbus Force 13g Pre-ECNL,Columbus Force SC CE 2018B Net Ninjas,45535,417877,https://system.gotsport.com/org_event/events/45535/results?group=417877,Schedule,0,False
Pride Soccer Club Pride SC 2012 Girls Samba,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418591,https://system.gotsport.com/org_event/events/45535/results?group=418591,Schedule,0,False
Columbus Force SC CE 2012G Warriors,Columbus Force SC CE 2018B Net Ninjas,45535,418591,https://system.gotsport.com/org_event/events/45535/results?group=418591,Schedule,0,False
Columbus Force SC CE 2012G Squirrels,Columbus Force SC CE 2018B Net Ninjas,45535,417570,https://system.gotsport.com/org_event/events/45535/results?group=417570,Schedule,0,False
Columbus Force SC Columbus Force 12G White,Columbus Force SC CE 2018B Net Ninjas,45535,417570,https://system.gotsport.com/org_event/events/45535/results?group=417570,Schedule,0,False
Delaware Knights Delaware Knights 2012 GU14,Delaware Knights Delaware Knights 2018 BU08,45535,417570,https://system.gotsport.com/org_event/events/45535/results?group=417570,Schedule,0,False
Polaris Soccer Club Polaris SC 11G Navy,Polaris Soccer Club Polaris SC 18B Navy,45535,418592,https://system.gotsport.com/org_event/events/45535/results?group=418592,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
NASA Xtabi NASA Xtabi 2011 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Upper Arlington United UAU 2011G U15,Upper Arlington United UAU 2018 BU U8 BLACK,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Columbus Force SC CE 2011G Chelsea,Columbus Force SC CE 2018B Net Ninjas,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Columbus Force SC CE 2011G Snipers,Columbus Force SC CE 2018B Net Ninjas,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Delaware Knights Delaware Knights 2011 GU15,Delaware Knights Delaware Knights 2018 BU08,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Dublin United Soccer Club DUSC Neon Irish 2012/2011 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418593,https://system.gotsport.com/org_event/events/45535/results?group=418593,Schedule,0,False
Ohio Champions League Columbus Force 11g E64RL,Columbus Force SC CE 2018B Net Ninjas,45535,417879,https://system.gotsport.com/org_event/events/45535/results?group=417879,Schedule,0,False
Ohio Champions League Columbus Force 10g E64RL,Columbus Force SC CE 2018B Net Ninjas,45535,417880,https://system.gotsport.com/org_event/events/45535/results?group=417880,Schedule,0,False
Ohio Champions League Columbus Force 09g E64RL,Columbus Force SC CE 2018B Net Ninjas,45535,417881,https://system.gotsport.com/org_event/events/45535/results?group=417881,Schedule,0,False
